How much interest do you have in the following information [learning how to make decision using statistics],How much interest do you have in the following information [gaining a statistical literacy],How much interest do you have in the following information [understanding the nature of data],How much interest do you have in the following information [learning the idea of hypothesis testing],How much interest do you have in the following information [understanding the nature of simulation based inference],How much interest do you have in the following information [integrating statistical knowledge to my future profession],How much interest do you have in the following information [knowing why statistics is relevant to my major],I find Statistics interesting., I generally have fun when I am learning Statistics topics.,I am happy working on Statistics topics.,Studying Statistics is worthwhile for me because what I learn will improve my career prospects.,I had trouble understanding Statistics because of how I think. ,I had no idea of what was going on in this Statistics course. ,I made a lot of math errors in Statistics. ,One of my main difficulties in learning Statistics was all of the equations. ,I found it difficult to understand statistical concepts. ,I am willing to seek help when I am struggling academically (e.g. asking a tutor/professor/classmate). ,I often need(ed) guidance to understand Statistics. ,"When Statistics became challenging, I stopped trying. ",I often “felt dumb” during this class. ,Did your confidence in statistics go up or down after taking this course?,Please explain your answer to the previous question.,What could the course have done differently to increase your confidence in your abilities?,How do you identify yourself?
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,1,1,2,7,6,6,5,5,7,6,5,6,Up,Before I knew nothing at all and now I know a good amount.,More participation from students to keep up paying attention ,Woman
Interested,Interested,Interested,Interested,Interested,Interested,Interested,6,5,5,4,4,2,4,4,4,6,4,4,4,Down,I felt as though my grade did not reflect my work ethic and knowledge ,Take my time on homework assignments ,Woman
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Interested,5,4,5,5,6,4,4,6,5,5,6,3,6,Up,It went up but not drastically at the beginning I was very lost but was able to get the hang of it.,I think the course was good. But it’s hard to understand when there’s a lot going on in the 2 hours.,Woman
Interested,Interested,Neutral,Interested,Interested,Interested,Interested,4,4,5,4,6,4,5,3,4,1,3,2,4,No change,"I’ve always been confused about statistics no matter how many classes I take, I’m more in a math/ geometry mindset which is hard to break. ",If only the course was longer than the 5 week,Woman
Very Interested,Very Interested,Very Interested,Very Interested,Interested,Very Interested,Very Interested,7,7,7,7,1,1,4,4,2,7,4,1,1,Up,"I understand a lot of the terminology after taking statistics and can identify specific sets of data that either supports or rejects the null hypothesis. I feel better knowing about p-value, degrees of freedom, confidence intervals, normality, etc.. Now when I read scientific journals I don’t feel so lost. Originally I was scared to take this class thinking it was a math heavy course. So I was pleasantly surprised when we focused mainly on the concepts and the math was the supporting factor. I think this helped me understand the formulas better than any other math class I’ve taken and helped to me succeed.","I recommend going over checking conditions/assumptions. The proper conditions listed make sense, but I’d like to have seen an example in class of a graph that did not fit the conditions/assumptions. Of course, it depends on the study, but I’d like to see crazy graphs nonetheless. ",Woman
Interested,Very Interested,Interested,Interested,Interested,Very Interested,Very Interested,6,5,5,7,4,1,2,6,5,7,4,1,3,Up,"My confidence went up due to the professor's teaching style and helpful attitude, which helped me learn more and become more confident in my skills about statistics. ","As previously stated, more practice problems to learn how to use the equations and solve the problems properly. ",Non-binary
Slightly interested,Interested,Interested,Neutral,Interested,Interested,Very Interested,5,5,4,5,6,3,4,5,3,6,5,3,2,Up,I feel I have a good foundation for statistics and reading graphs.,I just needed more practice examples ,Woman
Slightly interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested;Neutral,5,6,6,6,3,2,3,5,3,5,6,4,6,Up,it went up definitely because it was my first time taking stats class in college and  feel like high shcool stats (AP stats) and college stats are different.,it was amazing!,Woman
Neutral,Interested,Interested,Very Interested,Interested,Interested,Interested,5,4,5,4,3,4,3,4,5,6,5,5,6,No change,"Wasn’t sure what to expect before this class as this is my first interaction with statistics. Now having taken this class but not performing the best, I still feel the need further explore.","Professor was nice and funny, which helped to bring topics to life. My different lab groups felt that our lab activities in R didn’t always go hand in hand with what was taught to us. It would have been nice to get all of the trouble shooting with installing R done quicker within the first day or two so we could have more time spend with the topics and let the concepts sink in. The simulations, anonymous google forms, and one no-stakes class game felt very interactive, and I wish they were implemented more.",Woman
Interested,Interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Interested,5,5,5,4,3,2,4,5,4,4,4,3,2,Up,The concepts seemed less difficult and boring than I had expected. ,"The course felt very fast, but that was because of the five week time period. I think that I should have studied more. ",Woman
Interested,Interested,Interested,Interested,Interested,Interested,Interested,5,4,3,3,3,4,7,7,7,2,7,7,7,Down,I am not confident with technology use in general and stepping into coding is something that made me very nervous and anxious. ,A lot more practice questions than labs with other people that were also confused. ,Woman
Neutral,Not at all interested,Slightly interested,Neutral,Not at all interested,Slightly interested,Slightly interested,3,3,1,2,6,3,5,5,3,5,4,2,5,Up,"I never taken a stats course before, so learning to code was actually fun. While it did stress me out it was a fun opportunity to learn some basics, even if I won’t be doing it again necessarily. ",Maybe had more hands on interactive lecture time working on problems as a whole class unit not just breakout rooms. ,Woman
Neutral,Very Interested,Interested,Interested,Not at all interested,Interested,Very Interested,5,4,5,7,2,2,1,6,2,4,5,2,1,Up,"I had a very surface level understanding of statistics and topics like Standard Error and standard deviation, as well as previously taking a biology course with a lab section all about using R studio. Stats 218 actually made me understand the mechanisms behind the code I was typing. I know now what R was doing with the data.","I don't function best in an online environment, so maybe one method could be to randomly assign breakout rooms mid lecture to work on quick practice problems for maybe just 5 minutes could help with participation and engagement",Man
Interested,Neutral,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,3,4,3,2,5,3,5,5,6,3,4,4,5,Down,I didn't really know much about stats going into this class but now I'm just not sure stats is something I completely grasp.,I think if it was in person I would've done better.,Woman
Slightly interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,4,3,3,3,5,4,4,5,5,4,4,4,4,No change,I didn't know much about stats going in and my confidence didn't really change.,I think I just need to look at stats more.,Woman
Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,5,5,4,6,5,2,3,5,4,6,4,1,2,Up,I gained better knowledge on the topic,n/a,Man
